80	90	75	70	85	90	Guerrero
75	59	73	90	79	90	Duelista
52	93	90	26	42	3	Mago
73	55	13	1	78	46	Guerrero
56	90	81	22	60	49	Mago
99	21	4	90	87	94	Guerrero
42	3	30	76	3	83	Duelista
77	75	93	67	30	14	Mago
63	96	92	28	11	46	Mago
11	0	20	89	37	96	Duelista
84	63	18	12	79	35	Guerrero
82	9	57	3	88	73	Guerrero
21	88	92	28	56	22	Mago
30	93	99	40	33	85	Mago
89	85	32	1	96	71	Guerrero
15	15	15	94	15	89	Duelista
97	4	80	9	82	54	Guerrero
99	40	66	1	84	38	Guerrero
19	50	28	89	40	90	Duelista
32	71	41	84	16	82	Duelista
78	53	11	30	86	23	Guerrero
