V4,V5,V4,V4,V5,V5,Guerrero
V4,V4,V4,V5,V5,V5,Duelista
V3,V5,V5,V2,V3,V1,Mago
V4,V3,V1,V1,V5,V3,Guerrero
V3,V5,V5,V2,V4,V3,Mago
V5,V2,V1,V5,V5,V5,Guerrero
V5,V4,V1,V1,V5,V2,Guerrero
V4,V4,V5,V4,V2,V1,Mago
V3,V5,V5,V2,V1,V3,Mago
V1,V1,V1,V5,V2,V5,Duelista
V5,V1,V3,V1,V5,V4,Guerrero
V1,V5,V5,V2,V3,V2,Mago
V2,V5,V5,V3,V2,V5,Mago
V5,V5,V2,V1,V5,V4,Guerrero
V1,V1,V1,V5,V1,V5,Duelista
V5,V1,V5,V1,V5,V3,Guerrero
V5,V3,V4,V1,V5,V2,Guerrero
V1,V5,V5,V4,V1,V2,Mago
V1,V3,V2,V5,V3,V5,Duelista
V2,V4,V2,V5,V1,V5,Duelista
V4,V3,V1,V2,V5,V2,Guerrero
